system:index,SOS,year,.geo
"1_29004,11603_0",112.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29005,11603_0",111.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29006,11603_0",112.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29007,11603_0",106.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29008,11603_0",111.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29009,11603_0",100.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29010,11603_0",115.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29011,11603_0",115.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29012,11603_0",114.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29013,11603_0",114.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29014,11603_0",116.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29015,11603_0",116.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29016,11603_0",116.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29017,11603_0",114.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29018,11603_0",114.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29001,11604_0",119.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29002,11604_0",118.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29003,11604_0",119.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29004,11604_0",116.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29005,11604_0",102.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29006,11604_0",98.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29007,11604_0",101.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29008,11604_0",114.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29009,11604_0",116.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29010,11604_0",117.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29011,11604_0",115.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29012,11604_0",115.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29013,11604_0",115.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29014,11604_0",114.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29015,11604_0",114.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29016,11604_0",114.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29017,11604_0",110.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29000,11605_0",113.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29001,11605_0",116.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29002,11605_0",116.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29003,11605_0",113.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29004,11605_0",109.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29005,11605_0",99.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29006,11605_0",114.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
